Csapat,jelenlegi_pont,elozo_pont
Algeria,1480.59,1461.26
Argentina,1770.65,1765.13
Australia,1483.73,1462.29
Austria,1502.47,1500.37
Belgium,1821.92,1827
Brazil,1837.56,1832.69
Cameroon,1484.95,1480.48
Canada,1473.82,1479
Chile,1514.86,1526.4
Colombia,1604.07,1600.52
Costa Rica,1500.06,1503.09
Croatia,1632.15,1621.11
Czech Republic,1502.9,1500.62
Denmark,1665.47,1653.6
Ecuador,1463.74,1452.63
Egypt,1482.63,1500.67
England,1737.46,1761.71
France,1764.85,1789.85
Germany,1658.96,1650.53
Greece,1441.45,1421.43
Hungary,1486.76,1466.08
IR Iran,1558.64,1564.49
Italy,1713.86,1723.31
Japan,1552.77,1553.44
Korea Republic,1526.2,1519.54
Mali,1447.74,1436.62
Mexico,1649.57,1658.82
Morocco,1558.9,1551.88
Netherlands,1679.41,1658.66
Nigeria,1504.7,1504.01
Norway,1488.57,1463.5
Paraguay,1440.13,1443.3
Peru,1562.24,1562.32
Poland,1546.18,1544.2
Portugal,1678.65,1674.78
Qatar,1441.41,1441.41
Republic of Ireland,1442.48,1449.48
Russia,1493.42,1493.42
Scotland,1462.96,1472.66
Senegal,1593.45,1584.16
Serbia,1549.53,1547.53
Spain,1716.93,1709.19
Sweden,1563.44,1584.77
Switzerland,1621.43,1635.32
Tunisia,1507.86,1499.8
Turkey,1475.13,1461.81
Ukraine,1542.79,1535.08
Uruguay,1643.71,1635.73
USA,1635.01,1633.72
Wales,1582.13,1588.08
